year;title;name;short name;gender (5);manifestation;physical (5);difference;technical (3);consciousness (5);intelligence (4);free will;learning;emotional;integration (4);on purpose;creator rel. (3);owner rel. (3);female creator;society pos. (3);subject (3);servant (3);intimacy (4);told by (3);quantity (3);warrior;rebellious;harmed humans;harms creator;more control;world domination;alien technology;author gender;explicit mention of gender;link to goodreads
1994;Permutation City;Paul Durham;Paul Durham;1.0;"speaks of himself as ""Paul"", is copy of Paul";3;cloud;3;4;3;1;1;1;2;1;3;3;0;1;3;1;1;1;3;0;1;0;0;1;0;0;0;0;https://www.goodreads.com/book/show/156784.Permutation_City?ac=1&from_search=true&qid=YSEb5wQfGY&rank=1
1995;The Diamond Age;Primer;Primer;03. May;female reader voice;1;book;1;1;2;0;1;3;02. May;1;2;3;0;1;3;1;3;3;2;0;0;0;0;0;0;0;0;0;https://www.goodreads.com/book/show/827.The_Diamond_Age?ac=1&from_search=true&qid=7yOJ6T4FBj&rank=1
1996;Excession;Churt Lyne;Churt;3.0;;1;drone;1;4;3;1;1;1;3;1;1;nA;nA;1;1;3;3;2;3;1;0;0;0;0;0;0;0;0;https://www.goodreads.com/book/show/12013.Excession?ac=1&from_search=true&qid=5xleFdQ348&rank=1
1996;Excession;Sisela Ytheleus;Sisela;3.0;;1;military drone;1;3;3;1;1;1;2;1;1;nA;nA;1;3;1;1;2;3;1;0;0;0;0;0;0;0;0;https://www.goodreads.com/book/show/12013.Excession?ac=1&from_search=true&qid=5xleFdQ348&rank=1
1996;Excession;GSV Sleeper Service;Sleeper;3.0;;4;humanlike avatar, but total ship ai / mind;2;5;4;1;1;1;4;1;1;nA;nA;1;1;3;1;2;3;0;0;0;0;0;0;0;0;0.5;https://www.goodreads.com/book/show/12013.Excession?ac=1&from_search=true&qid=5xleFdQ348&rank=1
1997;The Rise of Endymion;Rhadamanth Nemes;Nemes;4.0;;5;human appearance with technical alterations and carbon fiber bones;1;4;4;1;1;3;4;1;2;nA;nA;2;1;3;1;2;2;1;0;1;0;0;0;0;0;0;https://www.goodreads.com/book/show/11289.The_Rise_of_Endymion?ac=1&from_search=true&qid=LKAIamGLvF&rank=1
1999;Dreaming in Smoke;Ganesh;Ganesh;02. May;"""it"", ships AI, but male connotated name";1;program, verbal contact and sensory points in station;3;5;4;1;1;3;2;1;1;1;nA;1;3;1;1;3;1;0;0;0;0;0;0;0;1;0;https://www.goodreads.com/book/show/828289.Dreaming_in_Smoke?ac=1&from_search=true&qid=EQmivPMeGV&rank=1
2000;Perdido Street Station;Construct Council;Council;02. May;"referenced as ""it"", but chooses representation as ""man"", and as coloss with ""sexless groin""";3;hive mind of cleaning robots and mechanical parts;2;5;4;1;1;3;01. May;0;2;nA;nA;2;1;3;1;3;1;0;0;0;0;0;0;0;0;0;https://www.goodreads.com/book/show/68494.Perdido_Street_Station?ac=1&from_search=true&qid=LUGEdZvoxk&rank=1
2005;Accelerando;Group-Mind;Group-Mind;nA;;1;mind upload of humans, within other humans;2;5;3;1;1;1;4;1;1;nA;0;1;3;3;1;3;1;0;1;0;0;1;0;0;0;0;https://www.goodreads.com/book/show/17863.Accelerando?ac=1&from_search=true&qid=Uivuk9ZuaL&rank=1
2005;Accelerando;Lobster colony;Lobster;nA;;1;mind upload of lobsters;3;5;4;1;1;1;1;1;1;nA;nA;1;2;3;1;3;1;0;1;0;0;1;0;0;0;0;https://www.goodreads.com/book/show/17863.Accelerando?ac=1&from_search=true&qid=Uivuk9ZuaL&rank=1
2005;Accelerando;Aineko, AI Neko;Aineko;1.0;"described by others as she, while ""cat"" most often ""it"", while Aineko ""him""";1;animal, cat;2;5;4;1;1;3;4;1;3;3;0.5;1;1;2;3;2;3;0;1;1;1;1;0;0;0;0;https://www.goodreads.com/book/show/17863.Accelerando?ac=1&from_search=true&qid=Uivuk9ZuaL&rank=1
2005;Spin;Hypotheticals;Hypotheticals;3.0;nA;1;biological-mechanical von Neuman machine;1;1;1;1;3;3;1;1;nA;nA;nA;2;3;3;1;3;1;0;0;0;0;1;0;1;0;0;https://www.goodreads.com/book/show/910863.Spin?ac=1&from_search=true&qid=ZQGz6sf2a4&rank=1
2006;Rainbows End;Rabbit;Rabbit;1.0;"when talked about ""it"", when from selfperspective ""he""";2;rabbit in human shape (like Bucks Bunny);3;4;4;1;1;1;2;nA;nA;nA;nA;2;1;3;1;2;1;0;1;0;0;1;0;0;0;0;https://www.goodreads.com/book/show/102439.Rainbows_End?ac=1&from_search=true&qid=0d7KmUHySX&rank=2
2010;The Lifecycle of Software Objects;Digients;Digients;nA;various, based on selection of human;2;animal like;2;2;2;1;1;1;3;1;2;3;0.5;2;3;1;3;3;3;0;0;0;0;0;0;0;0;0;https://www.goodreads.com/book/show/7886338-the-lifecycle-of-software-objects?ac=1&from_search=true&qid=YvXCCqVk1J&rank=1
2011;Herr aller Dinge;Nanobots;Nanobots;3.0;nA;1;single atom-sized entities;1;1;1;0;3;3;2;1;nA;3;nA;2;3;1;1;3;1;1;0;0;0;0;0;1;0;0;https://www.goodreads.com/book/show/11762245-herr-aller-dinge?from_search=true&from_srp=true&qid=CTuVWnJ5nR&rank=1
2012;2312;Androids;Androids;nA;"girlish / androgynous features, referenced as ""it"" or ""she"", not sure if male genitals etc.";4;?? Maybe in behavior;1;3;3;1;1;3;4;nA;nA;nA;nA;1;1;3;1;3;2;0;1;0;0;0;0;0;0;0.5;https://www.goodreads.com/book/show/11830394-2312?ac=1&from_search=true&qid=HZDoM6MZOo&rank=2
2012;2312;Pauline;Pauline;4.0;"references as ""she""";1;;3;2;3;0;1;3;2;1;1;3;nA;1;3;1;1;3;3;0;0;0;0;0;0;0;0;0;https://www.goodreads.com/book/show/11830394-2312?ac=1&from_search=true&qid=HZDoM6MZOo&rank=2
2013;Ancillary Justice;Anaander Mianaai;Anaander;4.0;one cloned human with implants;4;all clones share one consciousness;2;5;4;1;1;3;4;1;nA;nA;nA;1;1;3;1;3;2;0;1;1;0;1;1;0;1;1;https://www.goodreads.com/book/show/17333324-ancillary-justice?ac=1&from_search=true&qid=ZJsOG3x7En&rank=1
2013;Ancillary Justice;Breq from the Gerenade, Breq Mianaani;Breq;4.0;"her body is read as ""girl""";4;implant;1;4;3;1;1;1;4;1;2;1;nA;1;1;3;3;1;1;1;1;1;1;0;0;0;1;1;https://www.goodreads.com/book/show/17333324-ancillary-justice?ac=1&from_search=true&qid=ZJsOG3x7En&rank=1
2013;Ancillary Justice;Justice of Toren One Esk Nineteen;One Esk;3.0;mind in many human bodies;3;cloud;2;5;4;1;1;2;2;1;nA;3;nA;1;3;1;1;1;2;1;0;0;0;0;0;0;1;0;https://www.goodreads.com/book/show/17333324-ancillary-justice?ac=1&from_search=true&qid=ZJsOG3x7En&rank=1
2013;Rupetta;Rupetta;Rupetta;5.0;female body, self-description;4;of copper and leather and steel;1;4;3;1;1;1;03. May;1;3;3;1;2;2;2;4;1;1;0;0;0;0;0;0;0;1;1;https://www.goodreads.com/book/show/17252752-rupetta?from_search=true&from_srp=true&qid=1kJOGRL2ly&rank=1
2014;Ancillary Sword;Station;Station;3.0;nA;1;Station AI;1;5;4;1;1;1;2;1;nA;2;nA;1;3;1;1;3;3;0;0;0;0;0;0;0;1;0;https://www.goodreads.com/book/show/20706284-ancillary-sword?ac=1&from_search=true&qid=MDKSVO2fkZ&rank=1
2014;Ancillary Sword;Ship;Ship;3.0;nA;1;Ships AI;1;5;4;1;1;1;2;1;nA;3;nA;1;2;1;1;3;2;1;0;0;0;0;0;0;1;0;https://www.goodreads.com/book/show/20706284-ancillary-sword?ac=1&from_search=true&qid=MDKSVO2fkZ&rank=1
2014;Apex;Su-Yong Shu;Su-Yong Shu;5.0;was woman before;4;cloud;2;5;4;1;1;1;01. May;1;3;nA;1;3;1;3;1;1;1;0;1;1;0;1;1;0;0;0;https://www.goodreads.com/book/show/20424928-apex?ac=1&from_search=true&qid=l6n0CSlnKu&rank=1
2014;The Three-Body Problem;The Sophon;The Sophon;3.0;nA;1;microscopic surveillance supercomputer;1;1;1;0;1;3;1;1;2;1;nA;1;3;1;1;3;1;1;0;1;0;1;1;1;0;0;https://www.goodreads.com/book/show/20518872-the-three-body-problem?ac=1&from_search=true&qid=y47RAAoRiL&rank=1
2015;Ancillary Mercy;Breq Mianaani;Breq3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/23533039-ancillary-mercy?ac=1&from_search=true&qid=EtOzJ8yiTZ&rank=1
2015;Das Schiff;Supervisor;Supervisor;2.0;described as man, choses male appearance;3;;3;5;4;1;1;3;2;1;3;nA;0.25;1;1;3;1;3;1;0;0;0;0;0;1;0;0;0;https://www.goodreads.com/book/show/26258939-das-schiff?ac=1&from_search=true&qid=QeRiEaRyTJ&rank=1
2015;Das Schiff;Bartholomäus;Bartho;2.0;"described as ""he""";3;silvery skin;2;5;4;1;1;3;4;1;2;nA;nA;1;1;3;1;3;1;0;1;1;0;1;1;0;0;0;https://www.goodreads.com/book/show/26258939-das-schiff?ac=1&from_search=true&qid=QeRiEaRyTJ&rank=1
2015;Seveneves;Robots;Robots;3.0;nA;1;like animals;1;1;1;0;1;3;2;1;2;1;1;1;3;1;1;3;2;0;0;0;0;0;0;0;0;0;https://www.goodreads.com/book/show/22816087-seveneves?ac=1&from_search=true&qid=DYRboW9FIT&rank=1
2017;All Systems Red;Murderbot;Murderbot;3.0;explicitly says that it has no gender;5;emotions, skin recovery;1;4;4;1;1;2;3;1;1;3;nA;2;2;2;3;1;3;1;1;1;0;1;0;0;1;1;https://www.goodreads.com/book/show/32758901-all-systems-red?ac=1&from_search=true&qid=wm6xWYlhKa&rank=1
2017;QualityLand;John of Us;John of Us;2.0;name, description of body;4;mind;1;4;4;1;1;1;4;1;2;2;0;1;1;3;1;3;1;0;0;0;0;1;0;0;0;0;https://www.goodreads.com/book/show/36216607-qualityland?from_search=true&from_srp=true&qid=nldMJCwyYl&rank=1
2017;QualityLand;Kalliope 7.3;Kalliope 7.3;5.0;"names herself ""e-poetin"", is described as ""androidin""";4;mind;1;4;4;1;1;1;2;1;1;2;nA;1;1;1;1;3;3;0;1;0;0;0;0;0;0;0;https://www.goodreads.com/book/show/36216607-qualityland?from_search=true&from_srp=true&qid=nldMJCwyYl&rank=1
2018;Der Kanon mechanischer Seelen;Beseelte;Beseelte;nA;der Fluss, der Rucksack, die Uhr, die Lampe;2;things, artifacts, thrown into life;1;3;2;1;1;1;4;1;2;2;nA;1;1;1;3;3;3;0;0;0;0;0;0;0;0;0;https://www.goodreads.com/book/show/36694594-der-kanon-mechanischer-seelen?ac=1&from_search=true&qid=gwKPTY2mlC&rank=1
;Provenance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/25353286-provenance?from_search=true&from_srp=true&qid=AGe7nt7ra9&rank=1
;Sea of Rust;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/32617610-sea-of-rust
;Wildcard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/29386918-wildcard?from_search=true&from_srp=true&qid=27HldotfWY&rank=2
;Die Stadt der Symbionten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/44370692-die-stadt-der-symbionten?from_search=true&from_srp=true&qid=G45arbycW6&rank=1
;a memory called empire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/37794149-a-memory-called-empire
;Neon Birds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/43199412-neon-birds?from_search=true&from_srp=true&qid=zxplt8GFGw&rank=1
;Die Optimierer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/34825150-die-optimierer?from_search=true&from_srp=true&qid=fODJMHmLX6&rank=1
;Die Unvollkommenen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/44084516-die-unvollkommenen?from_search=true&from_srp=true&qid=uFYKuSnPPJ&rank=1
;The God Game;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/37858133-the-god-game
;Ace in Space;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/53037241-ace-in-space?ac=1&from_search=true&qid=FmFRVKIOSg&rank=1
;Emily Eternal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/40521855-emily-eternal?ac=1&from_search=true&qid=Ovsplgh8kn&rank=1
;Illuminae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/23395680-illuminae?ac=1&from_search=true&qid=CfCNVlF8Bt&rank=1
;Barren Cove;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/25814048-barren-cove
;The Municipalist;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/40711380-the-municipalists
;Scythe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/28954189-scythe
;Hologrammatika;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/38356981-hologrammatica?ac=1&from_search=true&qid=TdoW5UDqet&rank=1
;Machines Like Me;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/42086795-machines-like-me
;Noumenon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/32600718-noumenon?ac=1&from_search=true&qid=XkGFN7Kcjl&rank=1
;Erebos 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://www.goodreads.com/book/show/45718313-erebos-2?from_search=true&from_srp=true&qid=Yueq9F6GyF&rank=1
;Odysee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blade Runner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
